,text,label
22418,Ну а что  коронавирус многое изменил в нашей сегодняшней жизни  Приходится учиться с этим жить и быть готовым ко всему  Хотя бы элементарно соблюдать правила чистоты и собственной безопасности ,1
22419,В машине был осведомитель и наводчик ,0
22420,Кто там орал  что мер никаких не принимается  Теперь в столице будут всевозможные проверки и штрафы для нарушителей  Все для эффективности карантина  Посмотрим  что это даст ,1
22421,Это которым Матвиенко советовала не жить в общагах если неудобно а покупать квартиры до    метров для начала    ,0
22422,ничего  что русских более    ,0
22423,Меня тоже госпитализировали с двусторонней пневмонией и тест сделали  и никто об этом не пишет  И больница у нас тоже хорошая  заботливые врачи  И таких там много было  О простых не пишут  А вот знаменитости и награждают нас   путешествую по заграницам по делу и без дела  И вообще надо закрыть выезд за грануцу  только по необходимости  Сколько их там  До сих пор не вывести  Люди  берегите себя и родных  Никакие деньги не спасут  Уважайте труд врачей  они как на фронте сейчас ,0
22424,По кафе сейчас ходить нечего  тем более по вьетнамским   Лучше дома перекантоваться какое то время  книжку почитать  чтобы со спокойной душой выйти обратно на работу  здоровым ,1
22425,Нормальное развлечение  хотя бы не нарушают режима самоизоляции  Вообще  люди с фантазией всегда найдут  чем себя занять  А те  кто без причины шарахаются по улицам  либо без чувства самосохранения  либо плевать хотели на своих пожилых родственников ,1
22426,парады это просто скучно для любого взрослого человека с iq более   ,0
22427,блин  вот потому что дело не в возрасте  а в духе  он навсегда ,1
22428,Шутка Цезаря   Мы пришли  Они увидели и Господь победил  Европа пришла  Африка увидела и Азия победила  ,0
22429,ну всё  наконец то с ним разобрались,1
22430,У нас есть Президент   Серьезно что ли ,0
22431,Вот вам не пофигу на них  Какая разница что с ними будет ,0
22432,А причём тут потребнадзор до минздрава и распространения болезней   ей  может  стоит своим делом заняться  а то магазины завалены просрочкой ,0
22433,Самое интересное  что смертность от пневмонии в текущем году в сравнении с аналогичным периодом прошлого года даже немного снизилась ,0
22434,Медики то не железные  Премия в    тысяч врачам     тысяч среднему медперсоналу и    тысяч остальным медработникам   это  конечно хорошо  но чем меньше больных тем лучше во всех отношениях  Правильно  что в Москве ужесточают контроль  чтобы дегенератам неповадно было шастать по улицам без особой надобности ,1
22435,Как же это похоже на повод похайпить  очередная попытка прославится на громких именах  Впрочем  не только этот паренек так делает  Шайка хайпушников ,1
22436,Народу и вправда стало меньше,1
22437,И уменьшить получки дормаедам ,0
22438,Вот это правильно  Не помешает влепить этим диблоидам штрафы на пару сотен тысяч может тогда дойдет  какой опасности они подвергали себя и окружающих ,1
22439,Хочется мне посмотреть на зрелище  если миллионы людей идут в родительскую субботу на кладбище как смогут противостоять эта конная армия милиции  ,0
22440,США виноватых нашли в своих проблемах,1
22441,Как некорректно написано   прочитав не сразу поймёшь  ,1
22442,А они пробовали один анализ несколькими тестами проверить  Там ведь не коронавирус определяется  а вторичные признаки  наверное,0
22443,Логично  ведь сейчас объявлена нерабочая неделя  точнее   дней    Сидите дома и кайфуйте  лучше у себя недельку  чем три на карантине ,1
22444,Она мне кто   родственница  чтобы справляться о её здоровье   Я уже не помню как её фамилия ,0
22445,Рабы не имеют право просто гулять   ,0
22446,Ну и что  что выявили  Пусть посидят дома на больничном  попьют чая с малиной  Раздули ситуацию на юридической и медицинской безграмотности населения,0
22447,Китай достойно справился с пандемией  но там  насколько я слышал  началась вторая волна  А это значит  что расслабляться нельзя ,1
22448,Хорошо  что уже планируют выделить на поддержку таких организаций средства после пандемии  а бизнесу уже сейчас помогают ,1
22449,Россия поможет потом мы всем помогаем,0
22450,Не знал что Тесла это гаджет,0
22451,да вы  должно быть  издеваетесь я надеюсь  что суд не будет идти на поводу у преступника и максимум уберет год из предыдущего приговора,1
22452,Да я думаю они там между собой уже давно к взаимопонимаю пришли ,1
22453,В чем смысл одновременно слушать музыку и читать книгу ,0
22454,Российский крупнейший производитель зависит от ситуации на валютном рынке  в чём сам признался  Это всё  что надо знать про импортозамещение и стабильность ,0
22455,т е  выходить из карантина в принципе не планируется   ,0
22456,потом будет видео Дед Кабаев и Кони Дед Кабаев и Кабаева Дед Кабаев и россияне ,0
22457,Давайте мы сначала переживем эту эпидемию  чего гадать то   Лучше рекомендации соблюдать чтобы все это побыстрее закончилось ,1
22458,А что удивительного в том  что журналистам дали зелёный свет на перемещение  Они же ситуацию освещают и должны давать информацию максимально быстро  Да и фейкомётов с их  репортажами  в соц сетях меньше станет  сплошные плюсы ,1
22459,Сажать жестко и резонансно  чтобы другим не повадно было фейки плодить ,1
22460,Это она привязала рубль к нефти ,0
22461,        Твои тапки никогда не будут сухими  хозяин  ,0
22462,Не прокатило с Ираном  США опять вернулись к Венесуэле  До каких пор американцы будут вмешиваться в дела других государств  убирались бы уже в свою Амэригу ,1
22463,Одна из величайших певиц современности        Жаль  на России таких и днем с огнем не отыщешь  Не водятся с  Российская эстрада всегда славилась своей убогостью  К сожалению  ,0
22464,Этим занимаются это уже хорошо У нас не бросают больных и находиться под контролем Спасибо врачам ,1
22465,Профилактика коронавируса по украински   чихнул в автобусе     ,0
22466,Ничему не учатся  Не удивлюсь  если они еще и против коронавируса будут есть летучих мышей с коронавирусом  Типа а ля вакцина ,1
22467,Они забыли написать в какой это стране   ,0
22468,В Италии конечно жесть какая то ,1
22469,Боюсь надо было раньше,0
22470,Сейчас в моде бесполезные Собчак с Алсу ,0
22471,К этому часу погода хорошая установилась  без ветра и с солнцем  Надо уметь противостоять соблазнам  ,0
22472,Пыня ведёт страну на дно,0
22473,создали  но жаль он не работает,0
22474,Может дома начнут сидеть   ,1
22475,Грустно  но вполне объяснимо  они были в группе риска  Так что позаботьтесь о своих пожилых родственниках и не допустите такого,1
22476,мда  большой однако прирост за сутки,1
22477,Так или иначе всех желающих перевезут  а пока они получают положенные выплаты  Хотя мне кажется  они могли бы и раньше побеспокоиться о том  чтоб вернуться  а не ждать у моря погоды ,1
22478,Ух  как Путен имеет весь мир  Мир плачет  россияне смеются  выходят на улицы  танцуют  празднуют очередную победу вождя ,0
22479,А в чём смысл тогда их использовать ,1
22480,Всегда помнить о победе  верить  что войны не случится  Беречь своих близких ,1
22481,Казалось бы  в Исландии меньше всего это ожидалось  но вирус такой всем нам  х   вам в рыло  люди ,1
22482,главное  что есть те  кто выздоравливает   не все потеряно,1
22483,Больше панику сами люди и наводят  У нас ведь любят нагнетать обстановку  Все будет делаться логично  че вы паникуете  ,1
22484,Вот и хорошая новость ,1
22485,а че случилось то,1
22486,Кофе вреден буду пить каркаде или зеленый чай ,0
22487,В любом случае сейчас делать какие либо прогнозы довольно трудно  По моему многое зависит от того  насколько сознательными окажутся граждане и будут ли реально массово соблюдать правила самоизоляции ,1
22488,Хорошо отдохнули  по дешевым путевкам   ,0
22489,Сколько шума и пыли с этими поправками    Будет доступен полный текст всего пакета поправок заранее  вот тогда и посмотрим что и как  Основная часть поправок уже давно назрела по сегодняшней жизни ,1
22490,При этом сколько умерло от пневмонии не сообщается ,0
22491,А кто поможет всем этим ательерам  метрдотелям  рестораторам и туроператорам  чей бизнес схлопнулся в одночасье   к сожалению  все сразу не поможешь ,1
22492,Конечно съемки были перенесены  если в США во всех штатах выявлены заболевшие от коронавируса и их число перевалило за тысячу  Китай обвиняет США в распространении этой заразы  Неужели Штаты пожертвовали даже своим населением  Хотя солдат же своих они не жалеют  когда посылают воевать в чужие страны ,1
22493,Поэтому и был скачек по заболевшим  что из столицы в область ломанули многие  Пропуска с областью я бы еще и раньше ввел ,1
22494,   зараженных в Челябинске   это немного  но все их контакты надо отследить и изолировать на карантин  только так можно остановить китайскую заразу ,1
22495,В точку  Крымчане во время решили  что в русофобской Украине  где запрещают говорить на родном языке  делать нечего ,1
22496,А что ж его свои не вытащат ,1
22497,Опять этот расистский мем  Хватит уже расизма  не было бы негров с хачами  не было бы и расизма  И запомните  негр   друг человека ,0
22498,Слева лгунья  с отвратительным макияжем ,0
22499,Че бы и нет  Сейчас многие мероприятия онлайн проходят  Даже различные сайты есть со списком платформ бесплатных  Вирус не помеха так то  временное явление ,1
22500,Какое мусоро разделение    Его никто вообще не вывозит  Фото г омск ул пугачёва               ,0
22501,Польские продажные политики  это не польский народ  Простые поляки не переписывают историю и не обвиняют Россию в агрессии  Народ видит реалии  а не исполняет прихоти Вашингтона ,1
22502,И опять Трамп пытается стрелки от США перевести   ,1
22503,Это плохо  сами себе хуже компании делают  Сейчас даже квартиры будут дешеветь и думаю  что все пойдут именно в то направление  ведь и программами можно будет воспользоваться,1
22504,Быстро его уронили в эпп стор,0
22505,так и надо  дабы приостановить распростарнение вируса,1
22506,мда  не мало конечно  видимо мы приближаемся к пику,1
22507,Отличная новость  именно такие специалисты и нужны в борьбе с вирусом,1
22508,Меры для всех едины и без исключений  Пару недель уж можно пережить без посещения церквей  особенно  если это здоровье сохранит  Тем более есть уже прямые трансляции из храмов или канал спас на крайняк ,1
22509,Пуканы хохлов и майдаунов пишущих от имени россиян полыхают ,0
22510,у меня вк лагает,0
22511,Мы написали песенку про коронавирус и напомнили  как его избежать,0
22512,А по моему она просто больна  При чем здесь ФСБ то вообще  Может ей самой уже в больничку пора ложиться ,1
22513,Люди  которые реагировали на фейки  теперь давятся гречкой  а остальные спокойно ходят в магазин и покупают то  что им необходимо ,1
22514,давайте научимся уже все соблюдать самоизоляцию  тогда и случаев таких станет гораздо меньше,1
22515,к концу весны выяснится  что он может передаваться на расстоянии    тыс  километров ,0
22516,Главное не впадать в панику  тогда даже последний день жизни может оказаться ярким ,1
22517,Украдены  Очень сильно запахло коммунистической пapaшей,0
22518,На сколько я знаю  работа аптек тоже останется прежняя,1
22519,Хорошо бы в такое время подтянуть и развить на должном уровне интернет услуг  типа получения образования  Чтобы за ним не надо было ехать на край земли  а все было под рукой  Это многим сферам пригодилось бы ,1
22520,она знает языки как Коко ,0
22521,Мда  Харатьян то уже не тот   ,0
22522,скоро каждый сможет себе это позволить при желании,1
22523,У главных ветвей мормонов уже больше     лет нет многожёнства ,0
22524,Пятный день различные российские представители ведомств и  конечно  СМИ освещают эту тему  а Британские эксперты сегодня до этого дошли  Про Британских ученых  видимо  не зря так много шуток по сети ходит  эксперты у них  видимо  такие же,1
22525,Именно поэтому так важно сидеть дома и соблюдать социальную дистанцию  Тем более  что так много различных сервисов сделали  На гос услугах можно посмотреть ФРИКаталог  там все популярно расписано ,1
22526,Россияне уже много лет это предлагают России    ,0
22527,Там пандемия разыгралась не на шутку  Трампу лучше бы заняться этой проблемой  а не новые себе создавать  Тем более  до сих пор ставит на экономику  а не на жизни своих людей ,1
22528,Как редакции Медузы в Синдикате     состоять  не сильно строгие разнарядки приходят ,1
22529,Поделом ему пусть посидит подумает как дальше жить  Небо в клетку самое то для аспирантуры   помогает поразмышлять не отвлекаясь на высеры Навяльного,0
22530,Печальное известие  А еще печальней  что возраст у него не маленький   вон на Украине уже умер первый заразившийся    лет ,1
22531,От ска  лишь бы нажиться  Там наши уже вроде на животных начали испытывать вакцину  лафа долго не продлится  Пойду напишу на своей обычной  Бузова    никакая зараза не прилипнет ,1
22532,мммм   обижульки     Контент для умных людей на снобе  сразу видно  В перерывах межу вбросами про коронавирус   самое то чтобы не растетять свою интеллектуальную аудиторию  ,1
22533,жаль     но падать духом не нужно  все будет хорошо  Сидим дома соблюдаем меры  ,1
22534,Интересно  чем его лечили  Значит уже есть эффективные лекарства,0
22535,Она походу и без самоизоляции скачет только дома   со спортзала выгнали сайгка  ,1
22536,Мне кажется  что в США больший акцент делают на спасение бизнеса  чем на спасение людей ,1
22537,Насчёт быка и Юпитера все верно  но где это возмущение  о котором он говорит  Может  я не читал пару дней новости  но никакого возмущения нигде особо не заметил  и сам уже забыл эту историю про бордюры  совершенно типичная история  это ещё и не самое большое воровство их  скорее всего  за последнее время   Не пойму  о каком он возмущении говорит  если сейчас даже митинги невозможны  Что  кто то пару картинок мемных запостил ,0
22538,Нормально поговорить  потому что это чертовски опасно  Дома всегда есть чем заняться  например посмотреть кино  да и продукты можно заказать на дом  например из утконоса ,1
22539,Поэтому надо сидеть дома   ,1
22540,Было бы хорошо  но смысл в них  пока они его сделают  уже вирус пройдет и никто покупать не станет ,1
22541,Трамп делает Америку  снова Великой ,0
22542,а что за группа с нецензурным названием ,1
22543,Это закономерно  Все таки праздник Пасхи на носу  ничего необычного  если только не тот факт  что придется отметить его не выходя никуда из дома  Коронавирус  мать его   ,1
22544,Люди не самоубийцы  чтобы тащиться на митинги  когда повсюду о карантине говорят ,1
22545,Хоть кто то будет за мной следить,0
22546,Понятное дело  Эрдоган так и продолжает в Ливию своих боевиков поставлять  не смотря даже на то  что Турецкая экономика страдает и коронавирус бушует  Не удивлюсь  если там занижают цифры заболевших    ,1
22547,Членам семьи ближайшим должны отдать результаты ,0
22548,Интересно  может ли водка реально помочь обезопасить себя от коронавируса ,0
22549,Да не в скорости дело  А в технологиях  которые за счет этой скорости развиваются ,0
22550,Опять всё к Путину свели  у вас другие причины бывают  Любителям шашлычка теперь оправдания придумываете  ,1
22551,Там даже специальная вентиляция  Хорошо  что все готова в случае заболевания  Лучше конечно не болеть и соблюдать правила  Мыть чаще руки и не трогать лицо и волосы руками  Но и не забываем дезинфицировать телефон ,1
22552,Овощи долго сидеть на грядках будите,0
22553,У меня  например  и так кислотность повышенная  Поэтому я лимоны не употребляю ,0
22554,Как Клинт Иствуд в  Побеге из Алькатраса  ,0
22555,как в      люди все еще умудряются писать белоруссия конечно загадка,0
22556,Когда участников почти не осталось     Как  благородно ,0
22557,Удаленное нападение на онлайн школу  оружием из Майнкрафта ,0
22558,Всё новые и новые способы списать бабки с карты   ,1
22559,Зато проходит он у нас в стране плавно  лечить людей успевают  а не как в США  где в один день куча народу заболевает ,1
22560,Как по мне  то говорить про открытие еще очень рано в особенности для США  И о выходе из кризиса тоже  Разве что сейчас как то выкручиваться  хоть врачам помочь  а то у них зарплата сдельная и из за особенностей расчета снижается при уходе за больными с коронавирусом в частности ,1
22561,У самоуверенных Европейских стран и США сейчас недоумение как их система здравоохранения не справилась ,1
22562,Указание по самоизоляции было вполне логичным  учитывая ситуацию в мире  В моменты  когда жизнь людей от принятых мер зависит  лучше перебдеть  чем недобдеть и получить итальянскую ситуацию ,1
